vessel_type,speed_kn,cargo_load_t,distance_nm,fuel_type,weather,fuel_consumption_l
Panamax,14.69,1606.7,2121.7,Hydrogen,Moderate,167.3
Handymax,14.96,2808.2,2141.7,Methanol,Moderate,158.8
Feeder,12.3,880.2,868.0,Methanol,Calm,50.0
Panamax,14.03,4196.8,1524.2,Ammonia,Calm,142.1
Panamax,12.01,3057.7,2062.1,LNG,Calm,99.4
Tanker,11.75,9033.9,453.5,Conventional (HFO/MGO),Calm,50.0
Handymax,12.93,1815.2,2163.6,Ammonia,Moderate,90.5
Ro-Ro,17.28,3553.6,814.9,Hydrogen,Moderate,87.4
Handymax,15.12,2832.0,1153.5,Ammonia,Moderate,90.0
Container,18.43,2905.7,1318.2,Hydrogen,Moderate,294.9
Feeder,14.6,1740.0,1239.9,Methanol,Calm,50.0
Handymax,14.93,4194.1,268.0,Ammonia,Moderate,50.0
Panamax,11.47,6918.4,738.1,Hydrogen,Moderate,50.0
Tanker,13.96,8685.1,1391.5,LNG,Calm,136.0
Panamax,17.42,6224.9,171.3,LNG,Moderate,50.0
Container,12.65,6201.0,1013.6,Hydrogen,Calm,84.7
Feeder,10.91,2572.3,688.3,Conventional (HFO/MGO),Moderate,50.0
Panamax,14.91,6700.6,1757.1,Methanol,Calm,177.1
Ro-Ro,14.91,2769.5,1960.9,Conventional (HFO/MGO),Calm,152.8
Panamax,13.89,2898.7,2019.3,LNG,Moderate,148.6
Ro-Ro,14.77,1698.5,1233.2,Hydrogen,Calm,74.6
Tanker,12.31,10962.1,1497.2,Hydrogen,Moderate,123.8
Container,15.98,7671.7,1207.6,Ammonia,Rough,273.2
Tanker,16.79,5952.5,1928.5,Methanol,Calm,373.6
Ro-Ro,14.79,1485.1,293.2,Methanol,Calm,50.0
Feeder,14.37,995.6,1245.6,Ammonia,Rough,50.0
Panamax,20.01,7066.2,260.1,Conventional (HFO/MGO),Moderate,69.5
Tanker,16.83,6290.5,999.8,Conventional (HFO/MGO),Rough,188.6
Ro-Ro,16.54,6542.5,1278.5,Conventional (HFO/MGO),Rough,179.0
Container,14.18,12054.0,2193.4,Conventional (HFO/MGO),Calm,320.9
Ro-Ro,11.58,1783.9,1972.1,Hydrogen,Moderate,59.4
Ro-Ro,13.9,7400.4,762.4,Hydrogen,Calm,51.5
Feeder,17.17,1136.5,2102.2,Hydrogen,Moderate,75.8
Feeder,13.05,2327.0,1462.7,Ammonia,Moderate,50.0
Handymax,10.61,2079.1,2105.7,Hydrogen,Rough,57.1
Panamax,14.82,6461.9,1693.4,Conventional (HFO/MGO),Calm,191.4
Panamax,15.93,3134.0,259.0,Conventional (HFO/MGO),Calm,50.0
Handymax,18.39,3456.0,997.2,Hydrogen,Calm,95.0
Container,20.21,11774.8,1945.5,LNG,Calm,752.3
Panamax,11.38,6896.3,1275.4,LNG,Moderate,70.4
Handymax,18.95,3432.0,1925.4,Ammonia,Calm,239.1
Ro-Ro,18.33,6795.4,1099.2,Ammonia,Moderate,191.0
Handymax,11.03,4905.2,1432.2,Conventional (HFO/MGO),Moderate,50.0
Container,16.36,6373.7,1390.8,Hydrogen,Moderate,233.6
Container,20.0,10699.0,1852.2,Methanol,Calm,721.6
Ro-Ro,11.67,5945.7,1618.9,Methanol,Moderate,79.8
Panamax,13.02,3844.7,990.6,LNG,Moderate,61.3
Handymax,11.57,3204.3,474.7,Hydrogen,Moderate,50.0
Handymax,17.13,4420.5,761.7,Methanol,Calm,81.0
Container,13.06,12588.7,1200.9,Methanol,Moderate,165.2
Panamax,14.33,3749.3,1313.2,LNG,Moderate,118.4
Ro-Ro,12.98,1960.6,1759.9,Ammonia,Rough,93.0
Feeder,12.01,821.4,1832.6,Conventional (HFO/MGO),Moderate,50.0
Handymax,12.27,4428.5,212.9,Methanol,Moderate,50.0
Tanker,12.99,10332.1,1616.9,Hydrogen,Calm,158.3
Container,15.18,4137.6,467.7,Hydrogen,Calm,57.5
Container,13.94,9240.0,726.1,Hydrogen,Calm,80.8
Handymax,18.64,3861.0,236.2,Hydrogen,Calm,50.0
Ro-Ro,11.76,6812.3,1356.5,Ammonia,Moderate,61.8
Container,20.55,3519.4,1873.6,Conventional (HFO/MGO),Moderate,575.2
Panamax,11.27,2485.6,1785.5,Ammonia,Moderate,80.3
Container,18.86,5205.5,424.0,Hydrogen,Rough,129.6
Container,15.0,4935.8,1368.9,Methanol,Moderate,195.1
Ro-Ro,13.64,4580.8,169.1,Ammonia,Moderate,50.0
Panamax,12.69,7699.7,1825.4,Methanol,Rough,167.5
Feeder,11.98,1566.4,661.1,Ammonia,Calm,50.0
Feeder,13.15,2173.5,1863.9,LNG,Moderate,50.0
Ro-Ro,18.35,1838.6,691.6,Conventional (HFO/MGO),Calm,83.9
Container,19.17,5731.5,1084.3,LNG,Moderate,285.3
Container,19.05,7642.1,304.3,Methanol,Moderate,86.4
Tanker,11.4,5980.5,786.3,Conventional (HFO/MGO),Moderate,52.0
Feeder,12.29,2090.1,1788.4,Hydrogen,Calm,50.0
Ro-Ro,19.96,6826.4,603.1,Methanol,Moderate,112.4
Tanker,15.99,6006.9,1255.4,Conventional (HFO/MGO),Moderate,195.3
Container,16.03,3278.5,924.9,Hydrogen,Rough,181.2
Container,19.57,13589.8,2011.3,Conventional (HFO/MGO),Moderate,804.3
Ro-Ro,18.34,7111.9,1828.6,Methanol,Moderate,331.3
Container,17.49,8691.6,1901.0,Conventional (HFO/MGO),Moderate,489.7
Handymax,16.33,1248.7,1433.5,Hydrogen,Calm,99.1
Tanker,17.41,9541.0,2095.0,Conventional (HFO/MGO),Rough,571.0
Ro-Ro,18.91,6096.4,1935.7,Conventional (HFO/MGO),Calm,316.3
Container,13.91,5938.8,1084.8,Ammonia,Calm,124.3
Tanker,17.89,9298.7,733.4,Ammonia,Calm,170.1
Handymax,10.05,4940.4,2193.2,Methanol,Moderate,57.8
Ro-Ro,11.86,3303.4,1179.4,LNG,Calm,50.0
Feeder,11.8,666.4,228.4,Ammonia,Calm,50.0
Panamax,19.87,5664.7,976.4,Ammonia,Calm,224.8
Ro-Ro,18.83,4715.0,613.7,LNG,Calm,91.5
Handymax,10.45,1261.7,525.1,Ammonia,Moderate,50.0
Ro-Ro,14.22,1784.6,1905.1,Hydrogen,Calm,95.7
Feeder,10.67,968.1,1790.8,Methanol,Moderate,50.0
Tanker,16.56,2530.8,388.8,LNG,Moderate,50.0
Panamax,14.75,2016.5,1252.0,Ammonia,Moderate,116.4
Container,14.18,10509.4,1862.1,Methanol,Calm,237.6
Panamax,12.29,3953.4,1380.7,Ammonia,Calm,79.4
Handymax,18.57,3440.2,1713.5,LNG,Calm,201.0
Container,12.0,2937.0,897.0,Ammonia,Moderate,62.9
Tanker,12.86,4751.8,161.1,Conventional (HFO/MGO),Moderate,50.0
Feeder,15.13,2730.3,690.1,LNG,Calm,50.0
Panamax,12.91,3118.9,1062.3,Ammonia,Calm,72.8
Ro-Ro,16.76,5517.3,1482.8,Conventional (HFO/MGO),Moderate,192.1
Ro-Ro,17.6,5906.4,1628.0,Ammonia,Calm,209.0
Tanker,10.87,5610.2,238.4,Methanol,Calm,50.0
Feeder,14.49,1655.1,1319.6,Hydrogen,Rough,50.0
Container,17.06,6671.8,1582.0,Hydrogen,Rough,393.5
Container,16.71,6485.2,2180.8,LNG,Moderate,439.6
Tanker,13.88,2752.4,1232.0,LNG,Moderate,126.6
Ro-Ro,17.55,5429.0,688.2,Conventional (HFO/MGO),Moderate,81.6
Feeder,11.09,1067.6,1146.2,Ammonia,Calm,50.0
Handymax,11.34,3691.7,2179.0,Hydrogen,Moderate,68.6
Panamax,17.77,4649.5,744.3,Conventional (HFO/MGO),Calm,117.5
Container,20.25,6067.1,1377.3,Conventional (HFO/MGO),Calm,431.3
Container,19.65,4989.5,1044.5,Methanol,Calm,315.5
Panamax,12.46,5470.2,382.5,Methanol,Moderate,50.0
Panamax,15.34,7410.8,1154.4,Methanol,Moderate,140.4
Handymax,10.68,3487.9,1520.8,LNG,Moderate,50.0
Tanker,11.6,2757.2,1773.0,Hydrogen,Calm,100.1
Panamax,20.64,6237.1,926.2,Ammonia,Moderate,266.2
Handymax,13.21,6046.0,2035.5,Methanol,Moderate,137.2
Tanker,12.21,10895.2,433.7,Methanol,Calm,50.0
Ro-Ro,18.55,1817.9,1792.2,Methanol,Calm,209.7
Ro-Ro,12.99,5399.8,202.9,Methanol,Calm,50.0
Container,19.22,11199.1,271.6,LNG,Moderate,93.6
Ro-Ro,11.78,6967.2,1299.5,LNG,Moderate,59.6
Panamax,19.91,6981.8,2053.5,LNG,Rough,649.1
Container,20.76,11810.3,1471.0,Conventional (HFO/MGO),Calm,567.6
Ro-Ro,15.5,4937.5,481.8,LNG,Moderate,50.0
Feeder,16.79,1438.6,1604.3,Hydrogen,Calm,50.0
Feeder,11.22,2260.5,1187.0,Ammonia,Moderate,50.0
Tanker,15.4,3847.2,925.9,Methanol,Rough,148.8
Container,14.03,12281.2,1337.0,Methanol,Calm,196.5
Panamax,15.69,7173.2,927.0,Methanol,Calm,113.0
Handymax,16.42,5839.8,2006.5,Conventional (HFO/MGO),Rough,263.6
Handymax,15.74,5782.6,1640.5,LNG,Moderate,147.8
Tanker,18.27,8105.7,1038.0,Hydrogen,Calm,197.8
Feeder,13.78,1674.9,1460.8,Methanol,Moderate,50.0
Tanker,13.23,6552.8,571.6,Ammonia,Moderate,60.8
Panamax,18.04,3847.0,569.2,Ammonia,Calm,99.9
Panamax,15.63,6881.3,1937.6,LNG,Moderate,248.7
Container,21.65,5888.1,413.2,Conventional (HFO/MGO),Rough,204.4
Handymax,15.63,2958.1,423.4,Conventional (HFO/MGO),Moderate,50.0
Handymax,11.4,4195.7,1818.0,Hydrogen,Calm,57.3
Feeder,14.2,1245.1,1634.7,Conventional (HFO/MGO),Rough,50.0
Handymax,11.91,1393.6,1705.0,Hydrogen,Calm,51.4
Container,13.73,6717.8,565.9,Methanol,Rough,74.5
Feeder,14.22,2574.5,1754.9,LNG,Calm,50.0
Panamax,14.95,5160.3,429.7,Conventional (HFO/MGO),Calm,50.0
Panamax,20.17,6113.9,946.5,Conventional (HFO/MGO),Moderate,256.0
Tanker,15.18,5959.2,2017.3,Ammonia,Moderate,286.1
Tanker,11.38,7520.8,1110.7,LNG,Moderate,66.5
Feeder,12.28,2074.3,710.8,LNG,Moderate,50.0
Ro-Ro,17.51,4258.5,1611.4,Methanol,Calm,200.1
Panamax,13.67,5803.0,1903.4,Hydrogen,Calm,132.5
Container,21.53,7297.0,1394.8,Ammonia,Rough,789.3
Container,12.5,9987.0,1018.4,Conventional (HFO/MGO),Calm,101.2
Ro-Ro,15.19,6263.6,1656.6,Hydrogen,Rough,150.6
Tanker,15.93,2164.3,2181.8,LNG,Calm,249.4
Panamax,12.6,7904.7,175.1,Ammonia,Calm,50.0
Panamax,16.86,7455.0,820.3,LNG,Moderate,126.2
Tanker,10.37,11450.8,245.6,Hydrogen,Moderate,50.0
Ro-Ro,12.34,2748.0,1691.8,Hydrogen,Calm,65.4
Container,19.16,5158.8,773.1,Hydrogen,Rough,256.9
Handymax,11.98,2843.7,2199.0,Conventional (HFO/MGO),Calm,75.0
Feeder,10.67,1257.8,2184.4,Methanol,Moderate,50.0
Container,13.89,3580.3,1353.5,Methanol,Moderate,147.0
Panamax,13.47,8445.5,1211.9,Ammonia,Calm,111.2
Tanker,15.04,9327.6,724.0,Conventional (HFO/MGO),Rough,142.2
Feeder,10.63,1147.8,931.0,Ammonia,Rough,50.0
Container,14.53,7868.1,873.1,Ammonia,Calm,128.1
Container,19.59,9243.0,1178.5,Methanol,Moderate,441.9
Panamax,16.32,6445.3,1393.1,Hydrogen,Calm,188.5
Tanker,18.72,11614.7,1832.5,Hydrogen,Moderate,539.0
Panamax,15.79,3246.8,157.2,Conventional (HFO/MGO),Rough,50.0
Panamax,13.54,6789.4,1041.3,Methanol,Moderate,102.6
Tanker,10.84,5152.4,185.7,LNG,Calm,50.0
Handymax,16.59,1706.9,1925.3,Conventional (HFO/MGO),Calm,155.7
Panamax,18.15,3647.6,1194.5,Conventional (HFO/MGO),Calm,214.3
Ro-Ro,14.71,6169.2,652.0,Conventional (HFO/MGO),Calm,50.0
Handymax,10.03,3254.0,175.7,LNG,Rough,50.0
Container,14.22,9119.5,1538.4,Methanol,Calm,204.2
Container,20.72,5744.6,400.2,Methanol,Moderate,166.6
Feeder,10.19,2563.8,572.5,LNG,Calm,50.0
Feeder,10.58,772.0,2029.1,Conventional (HFO/MGO),Calm,50.0
Container,19.36,7440.9,1217.9,Ammonia,Calm,353.6
Ro-Ro,18.09,4315.1,831.5,Ammonia,Rough,150.2
Ro-Ro,13.3,6180.0,1802.8,Ammonia,Moderate,136.8
Tanker,13.31,4565.4,1195.5,Ammonia,Calm,100.2
Feeder,13.49,2740.1,223.9,Conventional (HFO/MGO),Moderate,50.0
Feeder,14.75,3008.6,606.5,Ammonia,Calm,50.0
Ro-Ro,16.02,4643.1,1074.7,Ammonia,Calm,114.7
Tanker,14.11,4235.5,853.0,Ammonia,Calm,84.0
Container,14.58,8380.9,2157.4,Methanol,Calm,283.6
Tanker,11.5,6252.6,1392.3,Methanol,Calm,86.1
Container,15.43,9859.7,1434.9,Ammonia,Moderate,253.6
Handymax,15.63,3357.4,956.8,Ammonia,Calm,72.8
Feeder,13.39,1534.7,220.9,Conventional (HFO/MGO),Calm,50.0
Feeder,16.45,1902.5,1900.9,Methanol,Moderate,72.5
Container,12.16,9484.6,1774.6,Ammonia,Calm,185.9
Feeder,10.48,723.7,344.5,LNG,Calm,50.0
Feeder,13.64,2637.4,184.5,Methanol,Calm,50.0
Container,16.82,3712.6,1787.4,Ammonia,Rough,462.6
Tanker,10.4,6728.7,2015.2,LNG,Moderate,90.4
Ro-Ro,18.49,4645.3,1830.5,Hydrogen,Calm,250.7
Feeder,13.72,3435.9,1208.6,Methanol,Calm,50.0
Feeder,12.84,2335.0,930.4,Methanol,Calm,50.0
Panamax,17.55,5435.8,1078.7,Conventional (HFO/MGO),Moderate,186.7
Panamax,14.75,3693.0,1614.4,Ammonia,Moderate,160.8
Panamax,18.73,2816.3,1289.2,Methanol,Calm,216.9
Panamax,15.93,4533.1,1964.2,Hydrogen,Moderate,229.7
Feeder,13.39,2906.6,494.3,Ammonia,Calm,50.0
Feeder,14.01,1238.3,1450.1,Conventional (HFO/MGO),Calm,50.0
Feeder,15.27,2847.5,1154.3,Ammonia,Calm,50.0
Handymax,10.13,5334.0,1420.9,Methanol,Moderate,50.0
Container,14.83,11748.1,971.5,Hydrogen,Calm,138.8
Panamax,20.83,7333.1,1589.3,Hydrogen,Rough,437.5
Feeder,14.81,923.3,604.4,LNG,Calm,50.0
Handymax,18.96,2980.5,1603.9,Ammonia,Calm,206.7
Feeder,11.87,1387.4,590.8,LNG,Calm,50.0
Ro-Ro,11.77,3678.4,1233.3,Ammonia,Calm,52.8
Ro-Ro,16.84,4555.5,1546.0,Conventional (HFO/MGO),Moderate,157.0
Feeder,11.81,2100.2,203.4,LNG,Calm,50.0
Tanker,10.57,8660.9,965.4,Conventional (HFO/MGO),Moderate,54.5
Ro-Ro,14.83,2880.2,1397.7,Ammonia,Moderate,110.7
Handymax,10.57,2392.0,466.6,LNG,Calm,50.0
Container,18.62,13411.7,888.1,Conventional (HFO/MGO),Moderate,304.4
Tanker,14.3,8536.8,1678.0,LNG,Moderate,188.8
Container,20.22,9551.2,1516.5,LNG,Moderate,595.0
Feeder,12.24,2027.0,1689.9,Hydrogen,Moderate,50.0
Handymax,13.0,2179.0,684.1,Methanol,Rough,50.0
Feeder,11.93,2335.4,1326.5,Ammonia,Moderate,50.0
Feeder,17.24,1952.3,289.1,Hydrogen,Calm,50.0
Tanker,14.94,8127.2,934.4,Methanol,Moderate,138.8
Tanker,16.44,10947.4,1370.6,Hydrogen,Rough,318.7
Tanker,16.45,5817.8,740.8,Hydrogen,Moderate,99.3
Panamax,14.57,2724.5,1331.6,Ammonia,Calm,117.7
Tanker,14.84,4062.7,1375.2,Methanol,Moderate,190.8
Tanker,12.24,9609.8,1300.5,LNG,Calm,97.9
Tanker,17.07,7641.3,2136.1,Conventional (HFO/MGO),Rough,463.8
Handymax,12.85,4220.2,1375.4,Hydrogen,Calm,56.3
Container,13.41,4873.5,2009.3,Conventional (HFO/MGO),Moderate,195.2
Feeder,15.88,1795.9,1920.9,Ammonia,Moderate,60.7
Feeder,14.79,2180.0,1974.8,Ammonia,Moderate,57.2
Feeder,10.01,2179.2,300.9,Conventional (HFO/MGO),Rough,50.0
Handymax,12.19,5844.2,932.2,Hydrogen,Calm,50.0
Feeder,17.89,2951.5,841.4,Methanol,Moderate,50.0
Feeder,14.9,2759.3,152.0,LNG,Calm,50.0
Handymax,11.49,4554.7,360.5,Conventional (HFO/MGO),Moderate,50.0
Panamax,17.6,2863.3,324.9,Ammonia,Calm,50.0
Tanker,13.44,5527.6,1195.5,Ammonia,Calm,117.6
Panamax,14.69,4891.5,406.4,LNG,Calm,50.0
Tanker,15.26,5253.1,499.6,Conventional (HFO/MGO),Calm,60.2
Feeder,13.01,2968.6,1625.4,Conventional (HFO/MGO),Rough,50.0
Feeder,15.32,1120.9,772.3,Hydrogen,Moderate,50.0
Handymax,12.05,5968.6,386.9,Methanol,Rough,50.0
Panamax,18.95,3298.8,1446.8,Ammonia,Moderate,334.3
Panamax,12.81,3700.0,1133.7,LNG,Moderate,67.2
Handymax,16.09,2670.1,1131.7,Hydrogen,Calm,75.4
Ro-Ro,14.06,3239.1,1322.4,Conventional (HFO/MGO),Calm,85.5
Handymax,15.77,3927.3,841.8,Conventional (HFO/MGO),Calm,66.6
Container,19.47,7500.9,1803.4,Methanol,Rough,665.1
Handymax,12.07,4689.6,968.3,Hydrogen,Calm,50.0
Container,15.2,11978.5,800.1,Ammonia,Moderate,161.0
Handymax,14.05,4761.1,417.5,LNG,Calm,50.0
Handymax,11.22,2510.2,1608.3,Hydrogen,Calm,50.0
Handymax,16.89,1655.4,1896.6,Hydrogen,Moderate,157.0
Handymax,16.55,4084.3,1294.9,Hydrogen,Moderate,102.6
Tanker,17.28,7954.2,1904.4,Methanol,Rough,445.4
Feeder,14.69,1958.0,1320.0,Conventional (HFO/MGO),Moderate,50.0
Feeder,15.74,1072.3,1245.8,Methanol,Calm,50.0
Panamax,18.35,6476.3,884.7,Methanol,Calm,180.9
Tanker,18.3,4600.7,680.6,Ammonia,Calm,145.3
Handymax,10.61,3133.4,684.2,LNG,Calm,50.0
Container,17.79,5000.3,1285.4,Hydrogen,Moderate,263.0
Panamax,12.31,8164.2,1594.8,Ammonia,Moderate,126.8
Tanker,18.84,6852.0,974.8,Conventional (HFO/MGO),Moderate,242.5
Tanker,15.61,6114.1,1763.5,Conventional (HFO/MGO),Moderate,235.8
Container,12.75,9032.5,1617.0,Ammonia,Calm,169.5
Panamax,12.98,5571.2,428.0,LNG,Moderate,50.0
Ro-Ro,13.87,2474.4,2176.8,Conventional (HFO/MGO),Calm,126.9
Ro-Ro,14.36,5477.4,1753.0,Conventional (HFO/MGO),Calm,134.4
Ro-Ro,18.62,5241.9,744.3,Methanol,Moderate,129.9
Feeder,17.9,2709.8,553.8,Methanol,Moderate,50.0
Container,17.65,12358.2,1402.3,Methanol,Moderate,421.6
Panamax,20.08,6924.5,254.5,Methanol,Rough,85.0
Tanker,10.2,7799.3,261.9,Methanol,Calm,50.0
Handymax,13.22,5328.1,2032.6,Ammonia,Calm,118.5
Tanker,16.81,5139.3,1496.3,Hydrogen,Moderate,212.2
Feeder,10.69,1143.1,422.1,Hydrogen,Rough,50.0
Handymax,11.05,3956.5,533.8,Hydrogen,Calm,50.0
Feeder,11.16,2509.3,2167.0,Ammonia,Moderate,50.0
Container,19.07,7910.7,1502.4,Ammonia,Rough,617.6
Handymax,14.07,1548.4,1763.5,Methanol,Calm,91.5
Panamax,13.8,4176.0,1416.9,LNG,Calm,100.3
Tanker,18.74,5668.7,820.4,Ammonia,Calm,195.8
Handymax,18.37,5099.7,866.0,LNG,Rough,135.7
Feeder,13.41,1292.3,1965.6,LNG,Calm,50.0
Container,21.92,8566.9,1150.9,LNG,Calm,459.6
Feeder,12.28,3158.2,261.6,Methanol,Calm,50.0
Feeder,13.81,1234.4,416.7,LNG,Calm,50.0
Container,18.33,7094.0,937.9,Ammonia,Moderate,256.3
Feeder,15.25,1749.8,1728.7,LNG,Rough,55.0
Handymax,10.82,2181.1,1756.2,Conventional (HFO/MGO),Rough,53.3
Handymax,17.56,4088.4,1836.7,LNG,Moderate,202.4
Feeder,17.66,1621.9,868.6,Conventional (HFO/MGO),Calm,50.0
Container,12.69,4133.5,1768.8,Ammonia,Moderate,181.2
Handymax,12.02,2656.2,179.1,Conventional (HFO/MGO),Calm,50.0
Tanker,18.08,5119.3,804.8,Ammonia,Rough,203.7
Tanker,12.29,5484.5,1206.5,Methanol,Moderate,103.0
Feeder,14.6,2014.0,583.5,Ammonia,Moderate,50.0
Ro-Ro,16.35,5085.9,1862.9,Conventional (HFO/MGO),Calm,179.4
Ro-Ro,11.87,1991.5,555.5,Methanol,Calm,50.0
Feeder,11.49,3479.4,481.1,Hydrogen,Moderate,50.0
Tanker,15.83,9268.7,425.1,Ammonia,Calm,76.3
Tanker,13.22,4547.9,2028.5,Conventional (HFO/MGO),Rough,240.2
Tanker,11.39,2386.9,1490.5,Hydrogen,Moderate,71.4
Container,15.46,6416.5,1386.5,LNG,Rough,248.4
Container,20.88,3489.7,1488.9,Hydrogen,Moderate,464.0
Ro-Ro,19.16,6735.6,157.1,Conventional (HFO/MGO),Calm,50.0
Tanker,15.38,4102.4,1818.6,Hydrogen,Calm,214.5
Handymax,14.69,3504.7,712.9,LNG,Calm,50.0
Container,22.08,7681.2,1726.1,Methanol,Calm,717.5
Handymax,10.18,1971.5,194.4,LNG,Rough,50.0
Feeder,15.95,1397.4,1179.7,Ammonia,Moderate,50.0
Feeder,15.86,1051.7,1059.8,Methanol,Moderate,50.0
Handymax,17.63,4183.3,1346.5,Ammonia,Moderate,169.1
Panamax,17.98,6957.6,1200.6,Conventional (HFO/MGO),Rough,269.9
Tanker,10.18,2473.3,871.2,LNG,Moderate,50.0
Panamax,13.3,7419.7,1731.1,Conventional (HFO/MGO),Calm,145.8
Ro-Ro,11.78,3591.2,243.4,Conventional (HFO/MGO),Calm,50.0
Container,21.05,4247.8,699.6,Methanol,Rough,330.6
Panamax,20.76,5125.0,776.0,Hydrogen,Moderate,176.2
Panamax,11.07,8166.3,1526.1,Conventional (HFO/MGO),Calm,82.5
Container,22.11,6150.4,809.2,Hydrogen,Rough,392.6
Tanker,12.64,2962.5,1052.0,Ammonia,Calm,73.7
Tanker,15.7,11099.3,2152.2,Conventional (HFO/MGO),Moderate,416.2
Container,15.95,2897.6,2161.4,Conventional (HFO/MGO),Rough,423.5
Ro-Ro,14.3,2847.8,1886.2,Conventional (HFO/MGO),Calm,116.7
Handymax,13.4,1899.5,2195.3,Methanol,Moderate,103.2
Feeder,17.25,2570.9,1812.9,LNG,Moderate,75.2
Container,19.74,7329.8,1380.0,LNG,Rough,511.5
Feeder,14.59,2753.6,2170.6,Methanol,Moderate,61.7
Handymax,18.07,4888.1,1671.6,LNG,Moderate,202.0
Panamax,19.09,3915.2,1553.9,Methanol,Moderate,345.1
Container,20.16,3422.3,433.0,LNG,Calm,122.8
Panamax,20.02,1913.2,1868.5,Ammonia,Moderate,418.0
Tanker,15.19,3516.7,155.3,Ammonia,Moderate,50.0
Container,16.1,2696.9,2025.7,Methanol,Calm,302.9
Ro-Ro,13.28,1757.2,939.3,Hydrogen,Calm,50.0
Ro-Ro,13.0,4358.1,233.2,Ammonia,Calm,50.0
Panamax,18.76,2511.3,1279.6,Hydrogen,Calm,198.0
Tanker,18.42,3162.8,1074.3,Hydrogen,Moderate,201.9
Handymax,14.61,6458.0,506.4,Hydrogen,Rough,50.0
Handymax,14.76,2473.8,2125.5,Methanol,Rough,154.1
Handymax,16.03,3368.1,1894.0,Ammonia,Calm,155.6
Ro-Ro,17.06,3494.7,905.7,Methanol,Calm,91.4
Container,14.47,4774.3,1347.5,Methanol,Calm,159.2
Panamax,16.78,2624.3,1232.9,Conventional (HFO/MGO),Moderate,157.0
Feeder,14.08,1034.3,1099.2,Methanol,Calm,50.0
Feeder,16.23,1622.4,633.3,Methanol,Calm,50.0
Feeder,16.65,2445.9,1047.5,Methanol,Calm,50.0
Panamax,14.99,7967.6,956.0,Conventional (HFO/MGO),Calm,110.3
Tanker,11.37,8687.4,1048.2,Hydrogen,Calm,68.7
Feeder,13.17,2372.4,1052.7,Ammonia,Calm,50.0
Container,17.04,10235.9,2017.2,Methanol,Moderate,514.1
Feeder,15.16,1290.8,1814.3,Methanol,Rough,55.8
Panamax,19.49,4316.7,2013.5,Ammonia,Calm,429.9
Panamax,16.65,4330.4,2081.2,LNG,Calm,268.7
Handymax,10.03,5083.3,923.8,Hydrogen,Rough,50.0
Handymax,10.83,1758.5,2102.9,Conventional (HFO/MGO),Moderate,54.1
Handymax,17.86,2348.1,1598.7,LNG,Moderate,165.8
Handymax,12.01,3018.9,2128.5,Methanol,Moderate,86.1
Ro-Ro,13.15,5392.1,1176.2,Methanol,Calm,67.7
Tanker,16.62,3945.8,1945.8,Hydrogen,Calm,251.2
Tanker,17.24,5800.0,1141.0,Conventional (HFO/MGO),Calm,232.4
Container,15.73,11472.8,212.8,Hydrogen,Calm,50.0
Ro-Ro,13.26,4502.8,802.7,Hydrogen,Moderate,50.0
Handymax,14.1,4311.4,1335.0,Ammonia,Calm,83.1
Container,14.28,9986.6,450.5,Ammonia,Moderate,69.5
Feeder,15.49,952.3,1571.0,Ammonia,Moderate,50.8
Panamax,18.19,7137.8,820.8,LNG,Rough,186.4
Ro-Ro,16.4,1999.6,717.2,Conventional (HFO/MGO),Moderate,63.7
Handymax,16.33,4144.4,1871.5,LNG,Moderate,179.0
Feeder,16.34,1072.5,646.6,LNG,Moderate,50.0
Ro-Ro,11.35,2414.4,1174.9,Hydrogen,Moderate,50.0
Panamax,12.84,6039.1,1573.1,Conventional (HFO/MGO),Calm,114.3
Tanker,10.75,7602.7,403.6,LNG,Moderate,50.0
Feeder,17.59,1256.1,210.3,Ammonia,Calm,50.0
Feeder,12.88,1534.5,599.7,Conventional (HFO/MGO),Moderate,50.0
Feeder,17.29,847.5,456.9,Methanol,Calm,50.0
Handymax,10.67,6283.8,775.4,Methanol,Calm,50.0
Ro-Ro,16.96,7710.5,534.6,Ammonia,Moderate,83.8
Feeder,12.9,2963.4,439.0,Methanol,Calm,50.0
Tanker,18.82,10894.5,254.5,Ammonia,Rough,91.3
Container,16.34,10211.2,1330.6,Hydrogen,Moderate,233.8
Panamax,15.4,1834.2,1570.3,Conventional (HFO/MGO),Calm,158.6
Ro-Ro,12.54,5586.3,776.6,Conventional (HFO/MGO),Calm,50.0
Feeder,14.98,1002.5,893.5,LNG,Moderate,50.0
Container,14.76,11354.1,998.5,Methanol,Calm,156.9
Tanker,15.53,10912.7,270.0,Hydrogen,Moderate,50.0
Handymax,12.31,1703.1,2079.2,LNG,Calm,68.9
Panamax,18.1,2957.5,1819.0,Hydrogen,Moderate,266.7
Ro-Ro,11.39,5676.7,457.5,Conventional (HFO/MGO),Moderate,50.0
Panamax,20.0,6968.8,2114.6,Hydrogen,Rough,568.4
Ro-Ro,19.07,6590.9,2144.3,LNG,Moderate,337.6
Ro-Ro,19.52,5863.2,1907.4,Ammonia,Moderate,373.4
Panamax,19.64,2199.6,845.2,Conventional (HFO/MGO),Calm,154.8
Panamax,20.52,5179.7,1990.3,LNG,Calm,457.0
Ro-Ro,17.32,5091.1,1821.5,Hydrogen,Moderate,192.6
Panamax,18.2,6673.5,890.9,Ammonia,Calm,186.8
